Date,Free_Chlorine_ppm,Combined_Chlorine_ppm,pH,Cyanuric_Acid_ppm,Calcium_Hardness_ppm,Phosphates_ppb,Water_Temperature_F
2021-08-29,3.8,0.2,7.5,38,280,40,90
2021-09-05,3.9,0.37,7.51,38,282,3,90
2021-09-12,3.9,0.34,7.51,39,281,25,88
2021-09-19,3.8,0.33,7.5,39,282,59,91
2021-09-26,3.5,0.48,7.43,39,282,0,90
2021-10-03,3.7,0.35,7.44,39,284,19,87
2021-10-10,3.7,0.19,7.41,39,284,22,88
2021-10-17,4.7,0.14,7.36,39,286,44,86
2021-10-24,5.1,0.21,7.42,40,288,45,82
2021-10-31,4.9,0.02,7.47,40,291,0,83
2021-11-07,4.2,0.15,7.37,41,292,0,78
2021-11-14,3.6,0.1,7.39,41,293,0,81
2021-11-21,4.3,0.27,7.48,41,293,53,77
2021-11-28,4.3,0.0,7.55,41,295,0,75
2021-12-05,4.4,0.0,7.6,42,296,13,73
2021-12-12,3.5,0.0,7.58,42,296,68,75
2021-12-19,4.1,0.0,7.51,42,298,56,71
2021-12-26,4.3,0.0,7.44,43,297,73,69
2022-01-02,3.7,0.02,7.48,43,299,40,68
2022-01-09,3.6,0.04,7.5,43,301,40,69
2022-01-16,3.8,0.07,7.58,43,302,0,68
2022-01-23,3.9,0.13,7.63,44,302,0,67
2022-01-30,3.8,0.03,7.59,44,303,3,66
2022-02-06,2.6,0.5,7.59,44,305,195,69
2022-02-13,1.8,0.82,7.65,45,304,338,64
2022-02-20,1.5,1.01,7.72,45,304,399,64
2022-02-27,1.8,1.16,7.76,45,306,437,64
2022-03-06,0.2,1.24,7.76,45,308,486,67
2022-03-13,1.4,1.17,7.71,45,310,349,68
2022-03-20,2.4,0.87,7.63,45,313,256,67
2022-03-27,3.1,0.63,7.56,46,314,192,66
2022-04-03,3.3,0.41,7.56,46,316,198,67
2022-04-10,2.7,0.22,7.52,47,320,109,71
2022-04-17,3.3,0.07,7.53,47,321,86,73
2022-04-24,4.3,0.0,7.54,47,321,113,74
2022-05-01,3.5,0.05,7.46,48,323,135,73
2022-05-08,4.1,0.14,7.44,48,325,56,76
2022-05-15,3.9,0.16,7.54,48,325,43,77
2022-05-22,3.9,0.08,7.46,48,326,93,79
2022-05-29,3.4,0.22,7.34,49,329,96,82
2022-06-05,3.5,0.31,7.27,49,331,86,82
2022-06-12,4.2,0.26,7.33,49,331,66,85
2022-06-19,4.3,0.16,7.37,49,333,47,85
2022-06-26,4.9,0.24,7.4,49,334,58,87
2022-07-03,5.1,0.25,7.5,49,335,46,88
2022-07-10,4.8,0.06,7.34,50,337,46,85
2022-07-17,5.3,0.09,7.4,50,337,50,88
2022-07-24,4.9,0.16,7.52,50,338,26,89
2022-07-31,4.9,0.06,7.45,50,342,53,89
2022-08-07,4.4,0.13,7.44,51,343,154,90
2022-08-14,4.2,0.0,7.41,51,344,56,94
2022-08-21,3.7,0.2,7.38,52,345,65,89
2022-08-28,4.2,0.35,7.39,52,346,33,93
2022-09-04,3.5,0.28,7.5,52,346,59,87
2022-09-11,4.0,0.3,7.61,53,226,58,89
2022-09-18,3.8,0.0,7.56,53,228,82,90
2022-09-25,4.3,0.0,7.66,53,227,112,90
2022-10-02,4.5,0.0,7.62,54,229,97,89
2022-10-09,5.1,0.0,7.7,54,230,120,88
2022-10-16,5.0,0.08,7.64,54,232,13,84
2022-10-23,3.9,0.35,7.62,55,232,82,83
2022-10-30,3.9,0.17,7.61,55,234,84,84
2022-11-06,3.4,0.08,7.77,55,237,110,80
2022-11-13,3.4,0.14,7.75,55,239,46,76
2022-11-20,4.3,0.35,7.65,56,239,18,75
2022-11-27,4.5,0.16,7.67,56,241,35,74
2022-12-04,4.0,0.2,7.61,56,242,39,75
2022-12-11,3.5,0.42,7.55,56,242,53,73
2022-12-18,3.7,0.16,7.59,57,243,90,73
2022-12-25,3.3,0.02,7.57,57,245,14,69
2023-01-01,3.2,0.02,7.57,57,246,61,69
2023-01-08,3.6,0.01,7.55,57,248,57,69
2023-01-15,4.3,0.17,7.56,58,249,48,66
2023-01-22,4.5,0.2,7.57,58,252,0,67
2023-01-29,3.3,0.0,7.44,58,254,33,64
2023-02-05,3.7,0.12,7.49,58,253,0,65
2023-02-12,3.8,0.07,7.44,59,254,11,64
2023-02-19,4.1,0.26,7.37,59,255,0,63
2023-02-26,4.8,0.17,7.4,59,254,1,66
2023-03-05,3.6,0.1,7.43,59,255,14,65
2023-03-12,3.5,0.2,7.4,59,258,68,66
2023-03-19,3.9,0.29,7.48,60,258,55,68
2023-03-26,3.2,0.32,7.4,60,259,29,69
2023-04-02,4.2,0.08,7.4,60,260,19,70
2023-04-09,4.3,0.18,7.39,60,260,74,70
2023-04-16,4.6,0.06,7.42,60,263,84,70
2023-04-23,4.1,0.13,7.45,61,264,59,72
2023-04-30,4.4,0.0,7.4,61,265,48,70
2023-05-07,4.8,0.1,7.47,61,265,0,72
2023-05-14,4.6,0.03,7.48,61,268,27,74
2023-05-21,4.5,0.0,7.37,34,269,0,76
2023-05-28,4.4,0.1,7.29,34,270,27,81
2023-06-04,3.9,0.16,7.34,35,272,39,80
2023-06-11,3.8,0.1,7.37,35,272,127,82
2023-06-18,3.8,0.3,7.39,35,274,61,87
2023-06-25,4.0,0.22,7.42,36,275,54,85
2023-07-02,4.4,0.22,7.45,35,276,115,88
2023-07-09,3.7,0.24,7.52,35,277,134,86
2023-07-16,3.7,0.16,7.45,36,278,80,89
2023-07-23,4.4,0.23,7.39,36,280,78,88
2023-07-30,3.8,0.15,7.35,36,281,68,90
2023-08-06,3.4,0.12,7.41,37,283,72,92
2023-08-13,3.6,0.31,7.51,37,284,40,87
2023-08-20,4.1,0.15,7.48,37,286,40,92
2023-08-27,3.9,0.0,7.33,38,287,0,91
2023-09-03,4.5,0.17,7.27,38,290,14,89
2023-09-10,4.6,0.48,7.28,38,290,42,87
2023-09-17,4.7,0.35,7.3,38,292,37,89
2023-09-24,4.6,0.07,7.33,39,295,0,87
2023-10-01,5.4,0.07,7.37,39,295,42,88
2023-10-08,4.8,0.08,7.39,39,298,58,86
2023-10-15,2.4,0.42,7.58,40,301,240,88
2023-10-22,2.5,0.55,7.62,40,303,373,83
2023-10-29,1.6,0.85,7.64,40,304,418,80
2023-11-05,1.3,1.04,7.73,40,305,480,81
2023-11-12,2.8,0.61,7.58,40,306,307,80
2023-11-19,2.5,0.57,7.58,40,308,240,80
2023-11-26,2.5,0.71,7.57,40,310,154,78
2023-12-03,2.3,0.58,7.54,40,312,127,75
2023-12-10,2.5,0.42,7.63,41,312,95,76
2023-12-17,3.2,0.34,7.56,41,314,110,69
2023-12-24,3.7,0.37,7.67,41,316,70,69
2023-12-31,4.0,0.11,7.61,42,318,8,67
2024-01-07,3.3,0.16,7.51,42,320,0,67
2024-01-14,2.5,0.12,7.51,42,208,0,64
2024-01-21,3.1,0.37,7.44,42,209,0,68
2024-01-28,3.2,0.3,7.41,42,209,7,65
2024-02-04,3.7,0.47,7.46,42,209,6,62
2024-02-11,4.1,0.26,7.5,43,210,104,63
2024-02-18,4.1,0.31,7.46,43,211,25,66
2024-02-25,4.4,0.31,7.53,43,212,41,67
2024-03-03,4.4,0.18,7.59,43,210,4,69
2024-03-10,4.5,0.2,7.66,43,210,3,72
2024-03-17,4.0,0.35,7.65,43,212,24,67
2024-03-24,3.9,0.27,7.69,44,213,0,66
2024-03-31,4.0,0.04,7.53,44,215,0,64
2024-04-07,4.4,0.09,7.51,44,214,81,70
2024-04-14,4.1,0.01,7.45,44,217,54,69
2024-04-21,4.3,0.03,7.47,45,218,62,71
2024-04-28,4.1,0.07,7.44,45,220,93,72
2024-05-05,4.0,0.0,7.45,45,223,73,75
2024-05-12,4.4,0.0,7.57,45,226,44,79
2024-05-19,3.3,0.0,7.55,46,227,0,79
2024-05-26,3.0,0.0,7.56,46,227,18,80
2024-06-02,2.7,0.0,7.53,46,228,25,79
2024-06-09,2.1,0.0,7.53,47,230,0,79
2024-06-16,2.4,0.07,7.52,47,231,21,83
